control_id,area,component,evidence_file,severity,EV,AC,AR,PR,UI,VC,VI,VA,RC
LOGGING-003,Logging,Syslog,system/services.txt,Medium,L,H,N,H,N,L,L,N,M
LOGGING-004,Logging,Syslog,logs/critical_events_stats.txt,Info,L,H,P,L,N,N,N,N,T
LOGGING-005,Logging,Syslog,logs/top_failed_auth_ips.txt,Info,L,H,P,L,N,N,N,N,T
LOGGING-006,Logging,Syslog,logs/,Medium,L,H,N,H,N,N,N,L,S
MAC-001,MAC,SELinux,mac/type.txt,Critical,L,L,N,H,N,H,H,H,C
MAC-002,MAC,SELinux,mac/selinux_status.txt,Critical,L,L,N,H,N,H,H,H,M
MAC-003,MAC,SELinux,mac/apparmor_status.txt,Critical,L,L,N,H,N,H,H,H,M
MAC-004,MAC,SELinux,mac/apparmor_enforcement.txt,High,L,L,N,H,N,H,H,L,M
MAC-005,MAC,SELinux,mac/selinux_booleans_mail.txt,Medium,L,H,N,H,N,L,L,L,S
MAC-006,MAC,SELinux,mac/selinux_contexts.txt,High,L,H,N,H,N,H,H,L,M
MAC-007,MAC,SELinux,mac/selinux_avc_denials.txt,Medium,L,H,P,H,N,L,L,L,M
MAC-008,MAC,SELinux,mac/apparmor_violations.txt,Medium,L,H,P,H,N,L,L,L,M
MAC-009,MAC,SELinux,mac/selinux_ports.txt,Medium,L,H,N,H,N,N,L,L,S
PATCHING-001,Patching,Packages,*/version.txt,Critical,N,H,N,N,N,H,H,H,C
PATCHING-002,Patching,Packages,*/package_info.txt,High,L,H,P,H,N,H,H,L,M
PATCHING-003,Patching,Packages,dovecot/build_options.txt,Medium,L,H,P,H,N,L,L,L,C
POLICY-001,Rate-Limiting,Policy,policy/postfix_ratelimit.txt,High,N,L,N,N,N,N,N,H,S
POLICY-002,Rate-Limiting,Policy,policy/postfix_ratelimit.txt,High,N,L,N,N,N,N,N,H,T
POLICY-003,Rate-Limiting,Policy,policy/postfix_ratelimit.txt,High,N,L,N,N,N,N,L,H,T
POLICY-004,Rate-Limiting,Policy,policy/postfix_ratelimit.txt,Medium,N,L,N,N,N,N,L,L,T
POLICY-005,Rate-Limiting,Policy,policy/postgrey.txt,Medium,N,L,N,N,N,N,L,L,M
POLICY-006,Rate-Limiting,Policy,policy/*status.txt,Medium,L,L,N,H,N,N,N,H,M
POSTFIX-001,MTA,Postfix,postfix/version.txt,High,N,H,N,N,N,L,L,L,M
POSTFIX-002,MTA,Postfix,postfix/config_active/postconf_n.txt,Medium,N,H,P,N,N,L,N,N,T
POSTFIX-003,MTA,Postfix,postfix/config_active/postconf_n.txt,Critical,N,L,N,N,N,N,H,H,S
POSTFIX-004,MTA,Postfix,postfix/config_active/postconf_n.txt,Critical,N,L,N,N,N,N,H,H,S
POSTFIX-005,MTA,Postfix,postfix/config_active/postconf_n.txt,High,N,L,N,N,N,N,L,L,S
POSTFIX-006,MTA,Postfix,postfix/config_active/postconf_n.txt,Medium,N,L,N,N,N,N,L,N,T
POSTFIX-007,MTA,Postfix,postfix/config_active/postconf_n.txt,Low,N,H,P,N,N,N,L,N,T
POSTFIX-008,MTA,Postfix,postfix/config_active/postconf_n.txt,Medium,N,L,N,N,N,L,N,N,T
POSTFIX-009,MTA,Postfix,postfix/config_active/postconf_n.txt,Low,N,H,P,N,N,N,N,L,T
POSTFIX-010,MTA,Postfix,postfix/config_active/postconf_n.txt,Medium,N,L,N,N,N,N,N,H,T
POSTFIX-011,MTA,Postfix,postfix/config_active/postconf_n.txt,Medium,L,L,N,L,N,N,N,H,T
POSTFIX-012,MTA,Postfix,postfix/config_active/postconf_n.txt,Medium,N,L,N,N,N,N,L,L,S
POSTFIX-013,MTA,Postfix,postfix/config_active/postconf_n.txt,Low,N,H,P,N,N,N,N,L,T
POSTFIX-014,MTA,Postfix,postfix/config_active/postconf_n.txt,Low,N,H,P,N,N,N,N,L,T
POSTFIX-015,MTA,Postfix,postfix/queue_status.txt,Medium,L,H,P,L,N,N,N,H,M
POSTFIX-016,MTA,Postfix,system/services.txt,Critical,L,L,N,H,N,N,N,H,S
POSTFIX-017,MTA,Postfix,postfix/config_lint.txt,High,L,L,N,H,N,N,L,H,M
POSTFIX-018,MTA,Postfix,postfix/config_active/master_cf_active.txt,High,N,L,N,N,N,L,H,N,M
RFC2142-001,RFC2142,Aliases,aliases/rfc2142_check.txt,Critical,N,H,P,N,N,N,H,N,S
RFC2142-002,RFC2142,Aliases,aliases/rfc2142_check.txt,High,N,H,P,N,N,N,H,N,S
RFC2142-003,RFC2142,Aliases,aliases/rfc2142_check.txt,Medium,N,H,P,N,N,N,L,N,S
RFC2142-004,RFC2142,Aliases,aliases/rfc2142_check.txt,Low,N,H,P,N,N,N,L,N,S
SPF-001,Email-Auth,SPF,spf/spf_config.txt,High,N,L,N,N,N,N,H,N,M
SPF-002,Email-Auth,SPF,spf/spf_config.txt,High,N,L,N,N,N,N,H,N,M
SPF-003,Email-Auth,SPF,spf/spf_config.txt,Medium,N,L,N,N,N,N,L,N,S
SPF-004,Email-Auth,SPF,spf/spf_config.txt,High,L,L,N,H,N,N,N,H,S
STORAGE-001,Storage,Filesystem,system/partitions_mail.txt,High,L,H,P,L,N,N,N,H,C
STORAGE-002,Storage,Filesystem,system/partitions_mail.txt,Medium,L,H,P,L,N,N,N,H,C
STORAGE-003,Storage,Filesystem,system/partitions_mail.txt,High,L,L,N,L,N,N,N,H,M
STORAGE-004,Storage,Filesystem,system/partitions_mail.txt,Medium,L,H,P,L,N,N,N,H,M
STORAGE-005,Storage,Filesystem,system/partitions_mail.txt,Medium,L,H,P,H,N,L,L,L,S
TIMESTAMP-001,Timestamp,Config,timestamps/service_vs_config.txt,High,L,H,P,H,N,N,L,H,S
TIMESTAMP-002,Timestamp,Config,timestamps/service_vs_config.txt,High,L,H,P,H,N,N,L,H,M
TIMESTAMP-003,Timestamp,Config,timestamps/service_vs_config.txt,High,L,H,P,H,N,N,L,H,S
TLS-001,TLS,Certificates,tls/*_info.txt,Critical,N,L,N,N,N,H,H,N,S
TLS-002,TLS,Certificates,tls/*_info.txt,High,N,L,N,N,N,H,H,N,S
TLS-003,TLS,Certificates,tls/*_info.txt,Medium,N,H,P,N,N,L,L,N,S
TLS-004,TLS,Certificates,tls/*_info.txt,High,N,L,P,N,N,L,H,N,M
TLS-005,TLS,Certificates,tls/*_info.txt,High,N,L,N,N,N,N,H,N,M
TLS-006,TLS,Certificates,tls/*_info.txt,High,N,H,P,N,N,H,L,N,M
TLS-007,TLS,Certificates,tls/*_info.txt,High,N,H,P,N,N,H,L,N,M
TLS-008,TLS,Certificates,tls/*_info.txt,Medium,N,L,P,N,N,N,H,N,S
TLS-009,TLS,Certificates,postfix/config_active/postconf_n.txt,High,N,L,N,N,N,H,H,N,S
TLS-010,TLS,Certificates,postfix/config_active/postconf_n.txt,Medium,N,L,N,N,N,H,L,N,S
TLS-011,TLS,Certificates,dovecot/config_active/ssl_config.txt,High,N,L,N,N,N,H,L,N,S
TLS-012,TLS,Certificates,dovecot/config_active/ssl_config.txt,High,N,L,N,N,N,H,L,N,S
